scenerio,teamCode,firstSimulatedId,madePlayoffs,round2,round3,round4,wonCup,firstOverall,points,wonDivision,draftLottery,wildcard1Odds,wildcard2Odds,divisionPlace2Odds,divisionPlace3Odds,round1Winin4,round1Winin5,round1Winin6,round1Winin7,round1Lossin4,round1Lossin5,round1Lossin6,round1Lossin7,round2Winin4,round2Winin5,round2Winin6,round2Winin7,round2Lossin4,round2Lossin5,round2Lossin6,round2Lossin7,round3Winin4,round3Winin5,round3Winin6,round3Winin7,round3Lossin4,round3Lossin5,round3Lossin6,round3Lossin7,round4Winin4,round4Winin5,round4Winin6,round4Winin7,round4Lossin4,round4Lossin5,round4Lossin6,round4Lossin7
WINOT,NSH,2019020009,0.5719,0.287,0.139,0.066,0.033,0.032,92.6,0.152,0.028,0.063,0.062,0.148,0.147,0.037,0.077,0.084,0.089,0.031,0.07,0.099,0.085,0.016,0.034,0.047,0.041,0.019,0.037,0.049,0.044,0.008,0.017,0.021,0.02,0.009,0.019,0.022,0.023,0.005,0.008,0.01,0.01,0.003,0.008,0.01,0.011
LOSSREG,NSH,2019020009,0.512,0.259,0.13,0.065,0.033,0.023,90.6,0.119,0.034,0.058,0.062,0.132,0.142,0.034,0.066,0.08,0.079,0.033,0.065,0.081,0.074,0.019,0.033,0.038,0.04,0.017,0.033,0.04,0.038,0.008,0.017,0.019,0.021,0.008,0.016,0.02,0.021,0.004,0.009,0.01,0.011,0.004,0.008,0.01,0.009
ALL,DAL,2019020010,0.5439,0.272,0.134,0.066,0.033,0.026,91.6,0.133,0.03,0.06,0.064,0.144,0.143,0.036,0.07,0.083,0.083,0.035,0.069,0.085,0.082,0.017,0.034,0.042,0.042,0.017,0.036,0.043,0.041,0.008,0.017,0.021,0.02,0.008,0.018,0.021,0.021,0.004,0.008,0.01,0.01,0.004,0.009,0.011,0.01
WINREG,DAL,2019020010,0.5641,0.279,0.136,0.067,0.034,0.03,92.3,0.144,0.028,0.063,0.064,0.148,0.146,0.036,0.069,0.086,0.087,0.036,0.074,0.089,0.087,0.018,0.034,0.041,0.043,0.018,0.038,0.044,0.043,0.008,0.018,0.021,0.02,0.009,0.018,0.021,0.021,0.004,0.008,0.01,0.011,0.004,0.01,0.01,0.009
LOSSOT,DAL,2019020010,0.5361,0.279,0.144,0.075,0.037,0.024,91.4,0.129,0.031,0.06,0.065,0.145,0.137,0.036,0.074,0.082,0.086,0.034,0.065,0.082,0.077,0.018,0.036,0.047,0.043,0.015,0.034,0.044,0.041,0.01,0.019,0.024,0.023,0.008,0.017,0.022,0.022,0.005,0.009,0.011,0.012,0.005,0.011,0.011,0.011
WINOT,DAL,2019020010,0.5739,0.285,0.145,0.069,0.034,0.033,92.6,0.155,0.027,0.065,0.066,0.149,0.139,0.038,0.073,0.085,0.088,0.036,0.075,0.092,0.086,0.019,0.036,0.044,0.045,0.016,0.041,0.041,0.043,0.009,0.02,0.021,0.019,0.01,0.018,0.022,0.025,0.002,0.009,0.011,0.012,0.004,0.008,0.012,0.011
LOSSREG,DAL,2019020010,0.5116,0.257,0.125,0.061,0.029,0.02,90.4,0.114,0.034,0.054,0.063,0.136,0.144,0.034,0.068,0.079,0.075,0.034,0.064,0.079,0.078,0.015,0.031,0.041,0.038,0.018,0.033,0.042,0.039,0.007,0.015,0.02,0.019,0.007,0.017,0.02,0.02,0.003,0.008,0.009,0.008,0.005,0.008,0.01,0.009
ALL,WSH,2019020002,0.5432,0.273,0.138,0.07,0.036,0.034,92.7,0.141,0.028,0.065,0.063,0.14,0.135,0.036,0.07,0.083,0.083,0.035,0.067,0.084,0.083,0.018,0.034,0.043,0.042,0.017,0.035,0.042,0.042,0.009,0.018,0.022,0.021,0.009,0.017,0.022,0.02,0.005,0.009,0.01,0.011,0.004,0.009,0.01,0.011
WINREG,WSH,2019020002,0.5757,0.292,0.144,0.071,0.038,0.041,93.9,0.154,0.025,0.066,0.06,0.152,0.142,0.041,0.074,0.089,0.088,0.035,0.07,0.09,0.087,0.018,0.037,0.043,0.046,0.018,0.039,0.046,0.045,0.01,0.017,0.023,0.021,0.009,0.018,0.024,0.022,0.005,0.011,0.01,0.012,0.004,0.008,0.009,0.012
LOSSOT,WSH,2019020002,0.5308,0.27,0.134,0.071,0.034,0.031,92.4,0.14,0.029,0.07,0.064,0.13,0.127,0.035,0.071,0.079,0.084,0.035,0.068,0.08,0.079,0.015,0.033,0.044,0.042,0.017,0.033,0.049,0.037,0.009,0.018,0.022,0.022,0.007,0.019,0.022,0.016,0.004,0.008,0.011,0.012,0.003,0.009,0.012,0.013
WINOT,WSH,2019020002,0.5721,0.281,0.145,0.073,0.038,0.043,93.8,0.156,0.025,0.07,0.064,0.147,0.135,0.036,0.072,0.088,0.086,0.042,0.074,0.092,0.083,0.017,0.037,0.047,0.044,0.019,0.036,0.038,0.044,0.008,0.02,0.022,0.023,0.01,0.021,0.022,0.019,0.006,0.009,0.012,0.011,0.005,0.01,0.009,0.012
LOSSREG,WSH,2019020002,0.5181,0.26,0.132,0.067,0.034,0.028,91.8,0.128,0.03,0.061,0.065,0.132,0.133,0.034,0.067,0.079,0.079,0.034,0.063,0.08,0.082,0.018,0.033,0.042,0.04,0.016,0.032,0.038,0.041,0.008,0.018,0.022,0.02,0.009,0.015,0.02,0.021,0.005,0.009,0.01,0.01,0.004,0.009,0.011,0.01
ALL,WPG,2019020006,0.5262,0.262,0.13,0.064,0.032,0.024,91.1,0.122,0.032,0.062,0.063,0.137,0.141,0.034,0.066,0.082,0.08,0.034,0.07,0.081,0.08,0.016,0.033,0.04,0.041,0.017,0.033,0.041,0.041,0.008,0.017,0.019,0.019,0.008,0.017,0.021,0.02,0.004,0.008,0.01,0.009,0.004,0.008,0.009,0.01
WINREG,WPG,2019020006,0.5467,0.27,0.133,0.065,0.031,0.028,91.9,0.134,0.029,0.061,0.066,0.144,0.141,0.033,0.07,0.086,0.081,0.035,0.073,0.085,0.084,0.017,0.034,0.04,0.042,0.017,0.034,0.043,0.043,0.008,0.018,0.019,0.02,0.009,0.017,0.022,0.02,0.004,0.008,0.01,0.01,0.005,0.01,0.009,0.01
LOSSOT,WPG,2019020006,0.5264,0.268,0.138,0.068,0.036,0.022,91.0,0.124,0.033,0.064,0.061,0.137,0.14,0.037,0.068,0.082,0.081,0.032,0.069,0.078,0.08,0.018,0.033,0.044,0.043,0.018,0.034,0.04,0.039,0.008,0.016,0.024,0.02,0.007,0.016,0.024,0.023,0.004,0.009,0.011,0.011,0.003,0.009,0.009,0.011
WINOT,WPG,2019020006,0.5456,0.273,0.13,0.062,0.032,0.03,92.0,0.132,0.029,0.064,0.061,0.144,0.144,0.037,0.068,0.08,0.088,0.033,0.078,0.083,0.079,0.015,0.032,0.042,0.042,0.018,0.037,0.042,0.046,0.009,0.016,0.019,0.019,0.009,0.018,0.02,0.02,0.004,0.008,0.01,0.01,0.004,0.009,0.008,0.01
LOSSREG,WPG,2019020006,0.5005,0.249,0.125,0.061,0.031,0.02,90.1,0.108,0.035,0.062,0.062,0.128,0.14,0.032,0.062,0.078,0.077,0.034,0.065,0.077,0.075,0.016,0.033,0.038,0.038,0.015,0.031,0.038,0.04,0.008,0.017,0.018,0.018,0.008,0.016,0.02,0.019,0.004,0.009,0.01,0.008,0.004,0.007,0.01,0.009
ALL,CBJ,2019020015,0.4899,0.245,0.122,0.06,0.03,0.026,91.1,0.116,0.033,0.064,0.063,0.122,0.126,0.032,0.061,0.075,0.076,0.032,0.064,0.075,0.073,0.016,0.03,0.038,0.039,0.016,0.031,0.039,0.037,0.008,0.015,0.018,0.019,0.008,0.015,0.02,0.019,0.004,0.008,0.009,0.009,0.004,0.008,0.009,0.009
WINREG,CBJ,2019020015,0.5223,0.258,0.129,0.064,0.032,0.033,92.1,0.133,0.03,0.065,0.066,0.128,0.131,0.032,0.066,0.081,0.079,0.034,0.07,0.082,0.078,0.017,0.032,0.039,0.041,0.017,0.033,0.041,0.038,0.008,0.017,0.019,0.02,0.009,0.016,0.02,0.02,0.005,0.007,0.01,0.009,0.004,0.008,0.01,0.01
LOSSOT,CBJ,2019020015,0.492,0.245,0.12,0.059,0.029,0.024,91.3,0.112,0.032,0.062,0.064,0.127,0.126,0.033,0.061,0.074,0.077,0.034,0.064,0.075,0.073,0.015,0.028,0.037,0.04,0.014,0.03,0.038,0.042,0.008,0.015,0.016,0.02,0.007,0.016,0.021,0.018,0.003,0.008,0.008,0.009,0.003,0.008,0.01,0.01
WINOT,CBJ,2019020015,0.5063,0.255,0.128,0.063,0.034,0.029,91.9,0.124,0.031,0.063,0.062,0.129,0.128,0.032,0.063,0.075,0.085,0.032,0.062,0.077,0.08,0.016,0.033,0.037,0.042,0.019,0.031,0.039,0.038,0.006,0.017,0.02,0.02,0.008,0.015,0.022,0.02,0.004,0.011,0.009,0.009,0.003,0.008,0.007,0.011
LOSSREG,CBJ,2019020015,0.4548,0.23,0.116,0.056,0.029,0.02,90.0,0.098,0.036,0.063,0.061,0.112,0.12,0.032,0.057,0.071,0.071,0.03,0.059,0.069,0.067,0.015,0.027,0.037,0.037,0.015,0.029,0.037,0.034,0.008,0.013,0.017,0.018,0.008,0.014,0.018,0.019,0.004,0.007,0.009,0.008,0.003,0.008,0.009,0.008
ALL,EDM,2019020003,0.4825,0.233,0.113,0.056,0.028,0.023,90.2,0.096,0.035,0.078,0.075,0.109,0.123,0.03,0.057,0.073,0.072,0.034,0.064,0.076,0.076,0.014,0.029,0.035,0.036,0.016,0.031,0.036,0.037,0.007,0.014,0.018,0.017,0.007,0.015,0.018,0.017,0.004,0.007,0.009,0.009,0.004,0.007,0.009,0.009
WINREG,EDM,2019020003,0.506,0.239,0.115,0.056,0.028,0.026,90.9,0.105,0.032,0.079,0.076,0.115,0.131,0.033,0.056,0.076,0.074,0.037,0.067,0.082,0.081,0.014,0.029,0.036,0.036,0.017,0.032,0.037,0.038,0.007,0.014,0.017,0.017,0.007,0.016,0.019,0.017,0.003,0.007,0.01,0.009,0.004,0.007,0.009,0.009
LOSSOT,EDM,2019020003,0.463,0.226,0.116,0.06,0.028,0.023,89.9,0.092,0.037,0.077,0.075,0.106,0.114,0.028,0.059,0.071,0.069,0.029,0.061,0.075,0.072,0.014,0.028,0.038,0.036,0.016,0.027,0.031,0.037,0.008,0.017,0.017,0.019,0.007,0.014,0.016,0.019,0.002,0.006,0.009,0.01,0.004,0.008,0.01,0.011
WINOT,EDM,2019020003,0.5081,0.252,0.124,0.059,0.031,0.026,91.0,0.106,0.033,0.082,0.076,0.122,0.122,0.031,0.062,0.081,0.079,0.039,0.068,0.073,0.075,0.012,0.032,0.041,0.039,0.015,0.035,0.038,0.04,0.007,0.015,0.022,0.015,0.008,0.016,0.023,0.018,0.005,0.008,0.011,0.008,0.004,0.006,0.008,0.009
LOSSREG,EDM,2019020003,0.4503,0.221,0.106,0.054,0.026,0.017,89.0,0.084,0.039,0.076,0.075,0.098,0.117,0.027,0.057,0.068,0.068,0.029,0.059,0.069,0.073,0.014,0.027,0.031,0.034,0.016,0.029,0.035,0.034,0.006,0.012,0.018,0.017,0.008,0.013,0.015,0.015,0.004,0.006,0.007,0.008,0.004,0.007,0.009,0.009
ALL,PHI,2019020016,0.4454,0.218,0.109,0.053,0.026,0.022,89.7,0.099,0.038,0.062,0.062,0.108,0.115,0.028,0.056,0.067,0.067,0.03,0.057,0.071,0.069,0.014,0.026,0.034,0.034,0.014,0.027,0.034,0.034,0.007,0.013,0.016,0.017,0.007,0.013,0.018,0.017,0.003,0.007,0.008,0.008,0.004,0.007,0.009,0.008
WINREG,PHI,2019020016,0.4638,0.227,0.114,0.055,0.027,0.025,90.4,0.107,0.035,0.064,0.062,0.112,0.118,0.03,0.058,0.069,0.07,0.033,0.059,0.073,0.072,0.015,0.027,0.035,0.037,0.015,0.029,0.035,0.033,0.008,0.014,0.017,0.017,0.008,0.015,0.019,0.017,0.003,0.007,0.009,0.009,0.004,0.007,0.009,0.008
LOSSOT,PHI,2019020016,0.4436,0.222,0.114,0.055,0.028,0.025,89.5,0.099,0.038,0.065,0.064,0.106,0.11,0.026,0.059,0.071,0.066,0.027,0.053,0.073,0.069,0.015,0.026,0.038,0.035,0.016,0.024,0.031,0.037,0.005,0.016,0.015,0.019,0.006,0.013,0.022,0.018,0.004,0.006,0.009,0.009,0.004,0.008,0.009,0.007
WINOT,PHI,2019020016,0.4744,0.231,0.112,0.055,0.026,0.027,90.5,0.108,0.035,0.063,0.062,0.118,0.123,0.03,0.057,0.071,0.074,0.031,0.063,0.076,0.073,0.012,0.027,0.039,0.034,0.016,0.031,0.036,0.037,0.007,0.013,0.016,0.019,0.008,0.012,0.019,0.018,0.004,0.006,0.008,0.008,0.004,0.008,0.008,0.008
LOSSREG,PHI,2019020016,0.4063,0.199,0.098,0.049,0.024,0.017,88.5,0.081,0.042,0.057,0.06,0.099,0.109,0.026,0.052,0.06,0.061,0.026,0.054,0.065,0.062,0.013,0.025,0.03,0.031,0.013,0.024,0.032,0.031,0.006,0.012,0.016,0.015,0.006,0.012,0.015,0.016,0.003,0.006,0.007,0.007,0.003,0.006,0.009,0.007
ALL,ARI,2019020012,0.4402,0.213,0.106,0.051,0.026,0.019,89.1,0.084,0.039,0.07,0.076,0.099,0.111,0.028,0.055,0.066,0.064,0.029,0.059,0.068,0.072,0.013,0.028,0.033,0.032,0.014,0.028,0.032,0.033,0.006,0.014,0.016,0.016,0.007,0.014,0.017,0.017,0.003,0.006,0.008,0.008,0.003,0.007,0.008,0.008
WINREG,ARI,2019020012,0.4663,0.229,0.111,0.053,0.026,0.023,90.0,0.095,0.036,0.073,0.076,0.106,0.116,0.03,0.059,0.071,0.069,0.03,0.062,0.071,0.075,0.013,0.028,0.036,0.033,0.015,0.032,0.034,0.037,0.005,0.013,0.017,0.017,0.007,0.015,0.018,0.018,0.004,0.006,0.009,0.008,0.003,0.006,0.008,0.009
LOSSOT,ARI,2019020012,0.4398,0.212,0.105,0.053,0.027,0.02,89.3,0.087,0.039,0.072,0.079,0.099,0.103,0.024,0.06,0.064,0.064,0.031,0.058,0.065,0.074,0.013,0.028,0.033,0.03,0.014,0.027,0.034,0.032,0.006,0.014,0.016,0.017,0.008,0.014,0.014,0.015,0.003,0.008,0.007,0.009,0.004,0.007,0.007,0.008
WINOT,ARI,2019020012,0.4708,0.228,0.112,0.051,0.026,0.02,90.1,0.098,0.036,0.071,0.076,0.111,0.115,0.03,0.056,0.072,0.069,0.03,0.064,0.074,0.075,0.015,0.028,0.033,0.036,0.016,0.032,0.032,0.037,0.007,0.013,0.017,0.015,0.007,0.015,0.02,0.019,0.003,0.006,0.009,0.008,0.004,0.007,0.007,0.007
LOSSREG,ARI,2019020012,0.4093,0.195,0.1,0.05,0.025,0.015,88.1,0.071,0.043,0.068,0.074,0.089,0.107,0.026,0.05,0.06,0.059,0.027,0.056,0.064,0.068,0.012,0.027,0.031,0.03,0.012,0.024,0.03,0.029,0.008,0.014,0.015,0.014,0.006,0.012,0.016,0.015,0.003,0.007,0.008,0.007,0.003,0.007,0.008,0.008
ALL,VAN,2019020003,0.4337,0.209,0.101,0.05,0.025,0.018,89.0,0.079,0.04,0.071,0.075,0.096,0.112,0.026,0.052,0.066,0.065,0.029,0.06,0.067,0.07,0.012,0.025,0.032,0.032,0.014,0.028,0.033,0.033,0.006,0.013,0.016,0.016,0.006,0.013,0.016,0.015,0.003,0.007,0.008,0.007,0.003,0.006,0.007,0.008
WINREG,VAN,2019020003,0.469,0.223,0.108,0.054,0.027,0.022,90.0,0.09,0.036,0.074,0.08,0.104,0.122,0.028,0.055,0.071,0.07,0.032,0.064,0.072,0.077,0.013,0.028,0.033,0.034,0.016,0.028,0.035,0.036,0.007,0.013,0.016,0.018,0.006,0.015,0.018,0.016,0.004,0.008,0.008,0.006,0.003,0.007,0.008,0.009
LOSSOT,VAN,2019020003,0.4202,0.203,0.102,0.049,0.023,0.019,88.8,0.078,0.041,0.067,0.073,0.094,0.109,0.027,0.048,0.065,0.064,0.028,0.057,0.066,0.067,0.011,0.026,0.033,0.032,0.011,0.028,0.029,0.033,0.005,0.012,0.017,0.015,0.007,0.015,0.016,0.015,0.002,0.006,0.007,0.008,0.004,0.006,0.008,0.009
WINOT,VAN,2019020003,0.4603,0.219,0.101,0.049,0.024,0.024,89.9,0.091,0.037,0.069,0.078,0.107,0.116,0.026,0.052,0.072,0.068,0.032,0.063,0.071,0.076,0.011,0.023,0.035,0.032,0.015,0.031,0.037,0.035,0.006,0.013,0.017,0.014,0.007,0.014,0.015,0.015,0.002,0.006,0.009,0.008,0.002,0.007,0.007,0.009
LOSSREG,VAN,2019020003,0.4026,0.196,0.095,0.048,0.025,0.014,87.9,0.068,0.044,0.07,0.071,0.089,0.105,0.025,0.05,0.06,0.061,0.026,0.056,0.062,0.063,0.012,0.024,0.03,0.03,0.013,0.026,0.031,0.03,0.006,0.012,0.015,0.015,0.006,0.012,0.015,0.014,0.003,0.006,0.008,0.008,0.003,0.006,0.006,0.007
ALL,ANA,2019020012,0.4303,0.208,0.102,0.05,0.025,0.018,88.6,0.078,0.041,0.072,0.076,0.095,0.11,0.027,0.051,0.065,0.065,0.027,0.059,0.068,0.068,0.013,0.026,0.032,0.031,0.014,0.028,0.032,0.032,0.007,0.013,0.016,0.014,0.007,0.013,0.016,0.016,0.003,0.006,0.008,0.008,0.003,0.006,0.008,0.008
WINREG,ANA,2019020012,0.4558,0.221,0.107,0.052,0.027,0.02,89.5,0.086,0.038,0.074,0.077,0.104,0.115,0.029,0.053,0.068,0.07,0.028,0.061,0.073,0.073,0.014,0.027,0.033,0.034,0.015,0.029,0.036,0.033,0.006,0.014,0.016,0.016,0.008,0.014,0.016,0.017,0.004,0.007,0.008,0.008,0.004,0.006,0.008,0.008
LOSSOT,ANA,2019020012,0.4275,0.206,0.097,0.046,0.022,0.017,88.6,0.072,0.042,0.076,0.08,0.092,0.108,0.027,0.055,0.064,0.06,0.028,0.058,0.071,0.065,0.01,0.024,0.032,0.031,0.015,0.03,0.036,0.028,0.008,0.011,0.014,0.012,0.008,0.012,0.017,0.014,0.003,0.005,0.008,0.007,0.002,0.007,0.007,0.007
WINOT,ANA,2019020012,0.4484,0.224,0.116,0.061,0.028,0.02,89.3,0.084,0.039,0.074,0.077,0.102,0.111,0.029,0.055,0.07,0.07,0.025,0.065,0.069,0.065,0.014,0.03,0.035,0.037,0.014,0.03,0.03,0.035,0.008,0.014,0.02,0.018,0.009,0.013,0.017,0.017,0.003,0.009,0.007,0.009,0.005,0.008,0.011,0.01
LOSSREG,ANA,2019020012,0.3947,0.188,0.094,0.044,0.022,0.014,87.5,0.068,0.045,0.069,0.072,0.084,0.103,0.023,0.047,0.06,0.058,0.028,0.055,0.06,0.064,0.013,0.025,0.03,0.027,0.012,0.025,0.028,0.03,0.006,0.013,0.014,0.012,0.006,0.013,0.015,0.016,0.002,0.006,0.007,0.007,0.003,0.006,0.007,0.006
ALL,DET,2019020025,0.3942,0.188,0.092,0.045,0.023,0.016,88.1,0.07,0.043,0.061,0.065,0.091,0.107,0.023,0.048,0.059,0.058,0.026,0.053,0.063,0.063,0.012,0.023,0.03,0.028,0.012,0.025,0.029,0.03,0.006,0.01,0.015,0.014,0.007,0.012,0.014,0.014,0.003,0.006,0.008,0.007,0.003,0.006,0.007,0.006
WINREG,DET,2019020025,0.4227,0.202,0.098,0.046,0.023,0.019,89.0,0.078,0.039,0.065,0.068,0.1,0.113,0.024,0.05,0.065,0.063,0.027,0.057,0.066,0.071,0.014,0.023,0.032,0.03,0.014,0.028,0.03,0.033,0.006,0.011,0.015,0.015,0.008,0.012,0.016,0.015,0.002,0.006,0.007,0.007,0.004,0.006,0.007,0.007
LOSSOT,DET,2019020025,0.3961,0.187,0.09,0.048,0.023,0.018,88.3,0.074,0.043,0.063,0.065,0.087,0.108,0.024,0.046,0.057,0.061,0.028,0.056,0.061,0.064,0.009,0.022,0.03,0.029,0.014,0.024,0.03,0.03,0.008,0.01,0.017,0.013,0.005,0.011,0.012,0.014,0.003,0.005,0.008,0.006,0.004,0.006,0.008,0.007
WINOT,DET,2019020025,0.4183,0.194,0.093,0.046,0.023,0.017,89.0,0.076,0.04,0.067,0.065,0.095,0.116,0.03,0.051,0.06,0.052,0.028,0.06,0.066,0.071,0.01,0.022,0.029,0.031,0.01,0.026,0.034,0.03,0.006,0.011,0.014,0.015,0.006,0.015,0.012,0.014,0.003,0.006,0.007,0.007,0.004,0.005,0.008,0.006
LOSSREG,DET,2019020025,0.3678,0.178,0.088,0.043,0.023,0.014,87.2,0.062,0.046,0.057,0.063,0.085,0.101,0.021,0.047,0.056,0.055,0.025,0.049,0.06,0.057,0.011,0.024,0.028,0.025,0.011,0.023,0.026,0.029,0.006,0.01,0.014,0.014,0.006,0.011,0.014,0.014,0.003,0.006,0.008,0.007,0.003,0.005,0.006,0.006
ALL,FLA,2019020005,0.3919,0.191,0.092,0.046,0.022,0.014,87.9,0.067,0.043,0.061,0.066,0.093,0.106,0.024,0.048,0.059,0.06,0.026,0.05,0.063,0.062,0.011,0.023,0.029,0.029,0.012,0.026,0.03,0.031,0.006,0.011,0.014,0.015,0.006,0.012,0.015,0.014,0.003,0.006,0.007,0.007,0.003,0.006,0.007,0.007
WINREG,FLA,2019020005,0.4286,0.204,0.097,0.049,0.023,0.019,89.1,0.08,0.039,0.062,0.068,0.102,0.116,0.026,0.051,0.062,0.065,0.029,0.055,0.074,0.066,0.012,0.024,0.03,0.031,0.013,0.025,0.033,0.035,0.006,0.012,0.016,0.015,0.005,0.012,0.016,0.015,0.003,0.006,0.008,0.007,0.003,0.006,0.01,0.007
LOSSOT,FLA,2019020005,0.398,0.201,0.101,0.049,0.023,0.014,88.3,0.066,0.042,0.062,0.066,0.102,0.102,0.025,0.048,0.062,0.066,0.023,0.045,0.062,0.067,0.011,0.029,0.032,0.03,0.01,0.03,0.026,0.033,0.005,0.015,0.014,0.015,0.007,0.015,0.014,0.016,0.004,0.007,0.008,0.005,0.003,0.007,0.007,0.009
WINOT,FLA,2019020005,0.4327,0.215,0.103,0.05,0.024,0.02,89.3,0.09,0.039,0.066,0.066,0.104,0.106,0.028,0.055,0.066,0.066,0.03,0.051,0.072,0.066,0.011,0.028,0.033,0.031,0.014,0.03,0.038,0.031,0.006,0.011,0.016,0.016,0.006,0.013,0.017,0.017,0.004,0.008,0.006,0.006,0.003,0.007,0.009,0.007
LOSSREG,FLA,2019020005,0.3664,0.179,0.086,0.043,0.021,0.011,87.1,0.056,0.046,0.06,0.065,0.085,0.102,0.023,0.046,0.056,0.055,0.025,0.049,0.056,0.057,0.011,0.021,0.026,0.028,0.011,0.025,0.028,0.029,0.005,0.01,0.013,0.014,0.006,0.011,0.014,0.013,0.002,0.005,0.007,0.007,0.003,0.006,0.006,0.006
ALL,NYR,2019020006,0.3788,0.181,0.088,0.042,0.02,0.014,87.7,0.07,0.044,0.055,0.059,0.09,0.105,0.022,0.045,0.057,0.057,0.027,0.051,0.059,0.06,0.01,0.022,0.028,0.028,0.012,0.024,0.028,0.029,0.005,0.01,0.013,0.013,0.006,0.012,0.013,0.014,0.003,0.005,0.006,0.006,0.003,0.005,0.007,0.007
WINREG,NYR,2019020006,0.4032,0.19,0.09,0.043,0.02,0.016,88.5,0.077,0.041,0.057,0.062,0.098,0.109,0.023,0.048,0.06,0.059,0.029,0.055,0.062,0.067,0.01,0.023,0.029,0.028,0.012,0.026,0.029,0.033,0.006,0.01,0.013,0.014,0.006,0.013,0.014,0.014,0.002,0.005,0.007,0.007,0.003,0.006,0.007,0.006
LOSSOT,NYR,2019020006,0.3764,0.182,0.091,0.045,0.021,0.013,87.5,0.067,0.045,0.053,0.066,0.089,0.1,0.024,0.046,0.056,0.057,0.026,0.049,0.062,0.057,0.011,0.024,0.029,0.027,0.01,0.028,0.027,0.027,0.006,0.012,0.012,0.015,0.006,0.012,0.015,0.013,0.003,0.004,0.007,0.007,0.003,0.005,0.009,0.007
WINOT,NYR,2019020006,0.4057,0.2,0.095,0.042,0.019,0.017,88.6,0.079,0.04,0.057,0.057,0.101,0.111,0.022,0.052,0.066,0.06,0.027,0.055,0.063,0.06,0.012,0.023,0.03,0.03,0.014,0.027,0.031,0.033,0.003,0.01,0.016,0.014,0.008,0.014,0.014,0.017,0.003,0.005,0.005,0.006,0.002,0.005,0.007,0.009
LOSSREG,NYR,2019020006,0.3449,0.165,0.081,0.04,0.02,0.01,86.6,0.06,0.048,0.052,0.055,0.077,0.101,0.021,0.04,0.052,0.053,0.024,0.047,0.054,0.055,0.01,0.019,0.025,0.026,0.011,0.021,0.027,0.025,0.005,0.01,0.012,0.012,0.005,0.011,0.012,0.014,0.003,0.005,0.006,0.006,0.002,0.004,0.007,0.006
ALL,CHI,2019020016,0.3712,0.178,0.086,0.043,0.021,0.011,86.3,0.066,0.049,0.052,0.056,0.089,0.107,0.022,0.046,0.055,0.054,0.027,0.05,0.058,0.059,0.011,0.022,0.028,0.026,0.012,0.024,0.027,0.029,0.005,0.012,0.013,0.013,0.006,0.01,0.014,0.013,0.003,0.006,0.007,0.006,0.003,0.005,0.007,0.006
WINREG,CHI,2019020016,0.3992,0.19,0.091,0.044,0.023,0.013,87.3,0.075,0.045,0.055,0.06,0.097,0.112,0.023,0.047,0.058,0.062,0.03,0.054,0.062,0.063,0.011,0.022,0.029,0.029,0.013,0.025,0.028,0.033,0.005,0.011,0.013,0.014,0.006,0.012,0.016,0.014,0.003,0.006,0.007,0.008,0.004,0.005,0.006,0.006
LOSSOT,CHI,2019020016,0.3694,0.176,0.085,0.043,0.021,0.01,86.3,0.061,0.05,0.06,0.057,0.085,0.106,0.023,0.045,0.059,0.05,0.028,0.048,0.06,0.058,0.01,0.022,0.028,0.025,0.013,0.022,0.03,0.026,0.003,0.014,0.012,0.013,0.006,0.008,0.013,0.015,0.002,0.004,0.007,0.008,0.003,0.005,0.007,0.007
WINOT,CHI,2019020016,0.4065,0.199,0.099,0.051,0.024,0.013,87.5,0.082,0.046,0.052,0.054,0.102,0.118,0.027,0.048,0.064,0.06,0.029,0.056,0.063,0.059,0.01,0.028,0.031,0.03,0.011,0.028,0.028,0.033,0.006,0.016,0.015,0.014,0.008,0.011,0.012,0.017,0.004,0.007,0.007,0.006,0.003,0.007,0.009,0.008
LOSSREG,CHI,2019020016,0.3453,0.165,0.081,0.04,0.02,0.009,85.4,0.059,0.053,0.049,0.054,0.082,0.102,0.02,0.044,0.051,0.049,0.024,0.046,0.054,0.056,0.01,0.02,0.026,0.025,0.01,0.023,0.025,0.026,0.005,0.01,0.013,0.012,0.005,0.01,0.013,0.012,0.002,0.006,0.006,0.005,0.003,0.005,0.007,0.006
ALL,NJD,2019020013,0.36,0.178,0.086,0.042,0.021,0.012,87.2,0.064,0.046,0.054,0.06,0.084,0.099,0.023,0.045,0.056,0.054,0.024,0.049,0.055,0.054,0.01,0.021,0.027,0.028,0.011,0.024,0.028,0.028,0.005,0.011,0.013,0.014,0.006,0.011,0.014,0.014,0.003,0.005,0.007,0.007,0.003,0.005,0.007,0.006
WINREG,NJD,2019020013,0.3854,0.188,0.092,0.044,0.023,0.014,88.1,0.071,0.043,0.056,0.061,0.089,0.108,0.024,0.048,0.059,0.057,0.026,0.053,0.06,0.059,0.01,0.024,0.029,0.029,0.011,0.025,0.03,0.029,0.005,0.011,0.013,0.014,0.006,0.012,0.015,0.014,0.003,0.005,0.007,0.008,0.003,0.005,0.007,0.006
